Service Tag,System Type,Ship Date,Dell IBU,Description,Provider,Warrenty Extension Notice *,Start Date,End Date,Days Left,,,,,,,,,,,,,,,,,,
9ddc831,optiplex gx260,8/8/2003,americas,client gold support / prosupport,dell,no,8/8/2003,8/7/2006,0,4 hour on-site service,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,
ALJC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2flc831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
237c831,optiplex gx270,8/8/2003,americas,client gold support / prosupport,dell,no,8/8/2003,8/7/2006,0,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,
40lc831,inspiron 5150,8/14/2003,americas,sol,9/22/2006,9/30/2007,0,,,,,,,,,,,,,,,,,,,,
357c831,latitude d600,8/14/2003,americas,complete care,uny,no,8/13/2004,8/13/2006,0,,,,,,,,,,,,,,,,,,
21EC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ENJC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9mmc831,optiplex gx260,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
PG3C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
b28c831,inspiron 1100,8/10/2003,americas,rapid response depot,sol,no,8/10/2003,8/9/2004,0,,,,,,,,,,,,,,,,,,
L6LC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E9MC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
O3MC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
OAHC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
f1jc831,inspiron 5150,8/14/2003,americas,rapid response depot,sol,no,9/22/2006,9/30/2007,0,,,,,,,,,,,,,,,,,,
785c831,optiplex gx270,8/8/2003,americas,next business day support,wang,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
561c831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
H8JC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LO9C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
4pfc831,optiplex gx260,8/13/2003,americas,client gold support / prosupport,dell,no,8/13/2003,8/12/2006,0,next business day support,uny,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,
735c831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
E7FC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
911c831,dell precision workstation 360,8/10/2003,americas,client gold support / prosupport,dell,no,8/10/2003,8/9/2006,0,next business day support,uny,no,8/9/2004,8/9/2006,0,,,,,,,,,,,,
K6AC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
981c831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
LF3C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I7LC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
JI4C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
b06c831,inspiron 5100,8/12/2003,americas,qlx,8/11/2004,8/11/2006,0,,,,,,,,,,,,,,,,,,,,
PBJC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
f4fc831,optiplex gx260,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
IKBC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
OKIC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
19dc831,optiplex gx260,8/13/2003,americas,next business day support,uny,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,,,,,,,
