Service Tag,System Type,Ship Date,Dell IBU,Description,Provider,Warrenty Extension Notice *,Start Date,End Date,Days Left,,,,,,,,,,,,,,,,,,
d93kyb1,optiplex gx520,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
L85KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
OF1KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2hpkyb1,powervault 220s (scsi),10/16/2006,americas,silver premium support,dell,no,10/16/2006,10/15/2009,0,4 hour on-site service,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
g72kyb1,dimension e521,10/14/2006,americas,dell,10/14/2006,10/14/2007,0,next business day support,bsc,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
LIAKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9CAKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
g1gkyb1,inspiron 1300/b130,10/15/2006,americas,limited technical support,dell,no,10/15/2006,10/15/2007,0,next business day support,qlx,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,
668kyb1,dimension c521,10/16/2006,americas,next business day support,qlx,no,10/16/2007,10/15/2009,0,limited technical support,dell,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
0CIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
495kyb1,inspiron 640m / e1405,10/15/2006,canada,limited technical support,dell,no,10/15/2006,10/15/2007,0,rapid response depot,sol,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,
840kyb1,optiplex gx620,10/13/2006,americas,client gold support / prosupport,dell,no,10/13/2006,10/12/2010,0,next business day support,uny,no,10/13/2007,10/12/2010,0,,,,,,,,,,,,
6AOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
19kkyb1,latitude d820,10/16/2006,americas,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,keep your hard drive service,dell,no,10/16/2006,10/15/2009,0,complete care,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0
g7lkyb1,dimension e520,10/14/2006,americas,dell,11/21/2006,10/14/2011,269,"next business day, includes nights/weekends",qlx,11/21/2006,10/14/2011,269,"p, your tech team",dell,8/24/2010,8/24/2011,218,,,,,,,,,,
PGBKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
0IIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I3NKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
6O9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
187kyb1,inspiron 6400/e1505,10/31/2006,latin america,next business day support,uny,no,10/17/2007,1/14/2009,0,,,,,,,,,,,,,,,,,,
JIIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
K3DKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
N3AKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
N7OKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
A98KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
58hkyb1,dimension e521,10/16/2006,americas,qlx,10/16/2007,10/15/2009,0,limited technical support,dell,10/16/2007,10/15/2009,0,,,,,,,,,,,,,,,
B8EKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7l9kyb1,dimension e520,10/14/2006,americas,next business day support,qlx,no,10/14/2006,10/14/2007,0,limited technical support,dell,no,10/14/2006,10/14/2007,0,,,,,,,,,,,,
ffgkyb1,dimension c521,10/18/2006,americas,dell,10/18/2006,10/18/2007,0,next business day support,bsc,10/18/2006,10/18/2007,0,,,,,,,,,,,,,,,
P16KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9c5kyb1,dimension 1100/b110,11/13/2008,americas,unknown,dell,no,--,--,0,,,,,,,,,,,,,,,,,,
7g6kyb1,xps/dimension 410/9200,10/20/2006,latin america,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
3c8kyb1,optiplex gx620,10/18/2006,americas,next business day support,uny,no,10/18/2007,10/17/2009,0,,,,,,,,,,,,,,,,,,
